hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Sidvin Hospital Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"1031, 20Th Main Road, 5Th Block, Rajajinagar",Karnataka,Bengaluru Urban,12.9391366,77.6192738
Spandana Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No. 546/46, 6Th Main, 4Th Block, Rajajinagar",Karnataka,Bengaluru Urban,12.986458,77.5581473
Sreerampura Referal Hospital,Private,Multispecialty / General,,0.0,0.0,"Bhashyam Circle,Rajajinagar 5Th Block",Karnataka,Bengaluru Urban,12.9843,77.554258
Sri Dhavantari Ayurveda Hoapital,Private,Multispecialty / General,,0.0,0.0,"1033,4 Th Block Dr Rajdumar Road",Karnataka,Bengaluru Urban,12.98622,77.559833
St. Theresa's Hospital,Private,Multispecialty / General,,0.0,0.0,"#1, Dr. Rajkumar Road, I Block,Rajajinagar,Near Vivekananda College",Karnataka,Bengaluru Urban,13.0091495,77.5550075
Suguna Hospital,Private,Multispecialty / General,,0.0,0.0,"1A/87, Dr Rajkumar Road 4Th Block, Rajajinagar",Karnataka,Bengaluru Urban,12.988003,77.5596952
Suresh Hospital - Bangalore,Private,Multispecialty / General,,0.0,0.0,"723 / B Main E S I Hospital Raod, 3Rd Block, Rajajinagar",Karnataka,Bengaluru Urban,12.9900215,77.5532345
Varalakshmi Nursing and Maternity Home,Private,Women & Child,,0.0,0.0,"Mahakavi Kuvempu Road,2Nd Stage Rajajinagar",Karnataka,Bengaluru Urban,12.9981905,77.5533462
Cdr Medical Center,Private,Multispecialty / General,,0.0,0.0,"No. 531, 11 Th Main , 4Th Blk, Jayanagar",Karnataka,Bengaluru Urban,12.9203433,77.5513148
Cloud Nine Kida Clinic Pvt (Bangalore) Ltd,Private,Multispecialty / General,,0.0,0.0,"1533, 9Th Main, 3Rd Block, Jayanagar",Karnataka,Bengaluru Urban,12.933863,77.584263
Drs 7 Maiya Multispeciality Hospital,Private,Multispecialty / General,,0.0,0.0,"34, 10Th Main Road, 1St Block, Jayanagar",Karnataka,Bengaluru Urban,12.9396233,77.5866713
